Track name, Artist name, Album, Playlist name, Type, ISRC
Elevator,Beak>,> >,spinning away,Playlist track,GBHYY1200027
I Must Not Think Bad Thoughts,X,The X Collection: 1980-1987,spinning away,Playlist track,USEE10001835
Make It Easy On Yourself,The Walker Brothers,Gold - Burt Bacharach & Friends,spinning away,Playlist track,USPR36509119
all the flowers,Bibio,Ambivalence Avenue,spinning away,Playlist track,GBBPW0900003
Storms That Breed,Weyes Blood,The Outside Room,spinning away,Playlist track,USA2Z1110595
Popularity,Sparks,In Outer Space,spinning away,Playlist track,USSK40710095
Spinning Away,Brian Eno,Wrong Way Up,spinning away,Playlist track,USRY20517339
Ruby,Silver Apples,Contact,spinning away,Playlist track,USMC16811465
Thumper,Dan Friel,Total Folklore,spinning away,Playlist track,USTJ21332408
Searching For Mr Right,Young Marble Giants,Colossal Youth,spinning away,Playlist track,GBCEL0700241
Aurora Borealis,Meat Puppets,II,spinning away,Playlist track,USME31100799
2 Little Skeletons,Minimal Man,Safari,spinning away,Playlist track,US9HX1000009
Panic Holiday,Country Teasers,The Empire Strikes Back,spinning away,Playlist track,USA3D0600019
Dael,Autechre,Tri Repetae,Discover Weekly,Playlist track,GBBPW9500177
Acrid Avid Jam Shred,Aphex Twin,...I Care Because You Do,Discover Weekly,Playlist track,GBBPW9500092
Pot au Feu - BBC Version,Delia Derbyshire,Pot au Feu (BBC Version),Discover Weekly,Playlist track,QMFMF2052919
1969,Boards of Canada,Geogaddi,Discover Weekly,Playlist track,GBBPW0100202
Vacuum,Gang Gang Dance,Saint Dymphna,Discover Weekly,Playlist track,GBBPW0800093
Blow Job,Bruce Haack,Haackula,Discover Weekly,Playlist track,QM6P41503978
Beep Street,Squarepusher,Hard Normal Daddy,Discover Weekly,Playlist track,GBBPW9700034
20 Jazz Funk Greats - Remastered,Throbbing Gristle,20 Jazz Funk Greats (Remastered),Discover Weekly,Playlist track,GBYFG1100042
LUSH,Dean Blunt,BLACK METAL,Discover Weekly,Playlist track,GBCVZ1403563
Brace Yourself Jason,µ-Ziq,Lunatic Harness,Discover Weekly,Playlist track,GBAAA9710846
The Platform On The Ocean,Arthur Russell,Calling Out Of Context,Discover Weekly,Playlist track,USAK20300002
Riversong,Tonto's Expanding Head Band,Zero Time,Discover Weekly,Playlist track,USAT20614713
Businessline,Hype Williams,One Nation,Discover Weekly,Playlist track,GBGCA1100004
Parsec,Stereolab,Dots And Loops (Expanded Edition),Discover Weekly,Playlist track,USEE19792083
Hare Jaya Jaya Rama I,Laraaji,"Vision Songs, Vol.1",Discover Weekly,Playlist track,USCW61807901
Laughable Butane Bob,AFX,Hangable Auto Bulb,Discover Weekly,Playlist track,GBBPW9500173
On GP,Death Grips,The Powers That B,Discover Weekly,Playlist track,USUG11401874
Spiritual Healing,Dälek,From Filthy Tongue of Gods and Griots,Discover Weekly,Playlist track,US4N80500382
Lanquidity - Remastered,Sun Ra,Lanquidity (Definitive Edition),Discover Weekly,Playlist track,USCXG2000901
Shooting Stars,Stark Reality,The Stark Reality Discover Hoagy Carmichael's Music Shop,Discover Weekly,Playlist track,US2S70301006
"Oedipus Orca - Theme From ""Oedipus Orca""",James Dashow,"Oedipus Orca / Una spirale di nebbia (Original Motion Picture Soundracks From ""Oedipus Orca"" and ""Una spirale di nebbia"")",Discover Weekly,Playlist track,ITC041100010
What’s The Goodside?,Avey Tare,Cows on Hourglass Pond,Discover Weekly,Playlist track,GBCEL1800463
Why Like This?,Teebs,Ardour,Discover Weekly,Playlist track,US25X1081898
Ode to an African Violet,Mort Garson,Mother Earth's Plantasia,Discover Weekly,Playlist track,US5NR1903004
Is This Power,The Field,Looping State Of Mind,Discover Weekly,Playlist track,DEU671100155
Seneca,Tortoise,Standards,Discover Weekly,Playlist track,USTJ20308901
Jabberwocky,Panda Bear,Crosswords,Discover Weekly,Playlist track,GBCEL1500384
Hairy Candy,TOBACCO,Fucked up Friends,Discover Weekly,Playlist track,QMDA71524237
Apple,Cibo Matto,Viva! La Woman,Discover Weekly,Playlist track,USWB19500080
I Hear a New World,Joe Meek,The Complete Recordings,Discover Weekly,Playlist track,DEZZ42149870
String Quartet in F: II. Assez vif: Très rhythmé,Maurice Ravel,Maurice Ravel-Thomas Adès-W.A. Mozart,Starred,Playlist track,uscgj0899866
The Duck and The Butcher,Tyondai Braxton,Central Market,Starred,Playlist track,GBBPW0900040
Woof Woof,Dan Deacon,Bromst,Starred,Playlist track,US22N0904808
Laughing Quarter,Autechre,Envane,Starred,Playlist track,GBBPW9700007
Stream,Humcrush,Rest At Worlds End,Starred,Playlist track,NOFGR0881010
Ghost Town (Re-Recorded),The Specials,Greatest Hits (Re-Recorded),Starred,Playlist track,USA370660416
A Future In The Future,Reggie Watts,Why S*** So Crazy?,Starred,Playlist track,US85P1098003
Låt barnen va!,Dick Tracy,"Turist i tillvaron, Vol. 1",Starred,Playlist track,SEVVF1101206
Åk på tur,Dick Tracy,"Turist i tillvaron, Vol. 1",Starred,Playlist track,SEVVF1101207
Our Day Will Come,Isaac Hayes,...To Be Continued,Starred,Playlist track,USFI87000045
Elevator,Beak>,> >,Starred,Playlist track,GBHYY1200027
Lucky Cloud,Arthur Russell,World Of Echo,Starred,Playlist track,USAK20400027
I Must Not Think Bad Thoughts,X,The X Collection: 1980-1987,Starred,Playlist track,USEE10001835
Popularity,Sparks,In Outer Space,Starred,Playlist track,USSK40710095
'See You Don't Bump His Head',Scott Walker,Bish Bosch,Starred,Playlist track,GBAFL1200250
Storms That Breed,Weyes Blood,The Outside Room,Starred,Playlist track,USA2Z1110595
Ruby,Silver Apples,Contact,Starred,Playlist track,USMC16811465
Yang Yang,Anika,Anika,Starred,Playlist track,US2S71161002
Make It Easy On Yourself,The Walker Brothers,Gold - Burt Bacharach & Friends,Starred,Playlist track,USPR36509119
Black Clouds,Roy Harper,Return Of The Sophisticated Beggar,Starred,Playlist track,GBQRF0708414
Aurora Borealis,Meat Puppets,II,Starred,Playlist track,USME31100799
Keyboard Etude,Theoretical Girls,Theoretical Record,Starred,Playlist track,US22N0401909
One Love (Edit),The Prodigy,More Music For The Jilted Generation (Remastered),Starred,Playlist track,GBBKS0700096
Vatican Vibes,Fatima Al Qadiri,Genre-Specific Xperience,Starred,Playlist track,USYBL1100677
Polytonal,Theoretical Girls,Theoretical Record,Starred,Playlist track,US22N0401913
Appalachian Grove I,Laurie Spiegel,New Music for Electronic and Recorded Media: Women In Electronic Music - 1977,Starred,Playlist track,US4QP0465304
St Tropez,Arp,In Light,Starred,Playlist track,NOX9X3312001
Shoot Myself,Venetian Snares,Hospitality,Starred,Playlist track,US78Q0600165
Montgomery,Justin Morgan,The Shapenote Album,Starred,Playlist track,USCWA9604201
While You Were Art II,Frank Zappa,Jazz From Hell,Starred,Playlist track,USZPE1200452
Midnight Directives,Owen Pallett,Heartland,Starred,Playlist track,GBCEL0900576
Beware,Death Grips,Ex Military,Starred,Playlist track,TCABE1223134
Assassins,Lightning Bolt,Wonderful Rainbow,Starred,Playlist track,US33K0404102
Here We Go,The Rammellzee,This Is What You Made Me,Starred,Playlist track,JPE260600002
Lightworks,Dorothy Collins (vocal),"Manhattan Research, Inc.",Starred,Playlist track,NLB559900121
The Finest,MF DOOM,Operation: Doomsday (Complete),Starred,Playlist track,US2S71104004
Red and Gold,MF DOOM,Operation: Doomsday (Complete),Starred,Playlist track,US2S71104008
Dark Art,Zach Hill,Astrological Straits,Starred,Playlist track,USA560792130
Sheets of Easter,Oneida,Each One Teach One,Starred,Playlist track,US38Y0210338
Colossal Youth,Young Marble Giants,Colossal Youth,Starred,Playlist track,GBCEL0700247
Searching For Mr Right,Young Marble Giants,Colossal Youth,Starred,Playlist track,GBCEL0700241
Ballu cantadu de Logudoro (Cuntzertu: Mediana in Si bemolle),Efisio Melis,A launeddas (I maestri delle launeddas 1),Starred,Playlist track,ITI401155116
Reminiscences,Ariel Pink,Before Today,Starred,Playlist track,GBAFL1000120
Five Nine Seven Eight,Virt,SOUNDSHOCK: FM FUNK MADDNESS!!,Starred,Playlist track,
Wolf,Nash The Slash,Children Of The Night,Starred,Playlist track,CAI370611312
G Song,Terry Riley,Les Yeux Fermés / Lifespan,Starred,Playlist track,USZM60700006
The Man In The Dark Sedan,Snakefinger,The Man In The Dark Sedan,31 goodbye,Playlist track,GBHCD1150087
Riding High On A Windy Day - Original,The Paragons,On The Beach With The Paragons,31 goodbye,Playlist track,USFB20601041
Left With A Broken Heart,Paragon's,Unearthed Gold of Rocksteady Vol. 2,31 goodbye,Playlist track,USA2P0746300
Track 05,sBACH,sBACH,31 goodbye,Playlist track,US33X0807505
Hercules,Aaron Neville,The Anthology,31 goodbye,Playlist track,USA560703030
Man Next Door,Paragon's,Unearthed Gold of Rocksteady Vol. 2,31 goodbye,Playlist track,USA2P0746294
Games People Play,Bob Andy,Unearthed Gold of Rocksteady Vol. 2,31 goodbye,Playlist track,USA2P0746288
After Laughter (Comes Tears),Wendy Rene,After Laughter (Comes Tears),31 goodbye,Playlist track,USAT20003822
Tout Suite No. 1 In f Major - 1. Mov.,Moondog,Sax Pax For A Sax,31 goodbye,Playlist track,DEC169400025
007 Shanty Town,Desmond Dekker,Hot Hot Hot - Reggae Hits,31 goodbye,Playlist track,GBQRF1100810
When The Going Is Smooth & Good,William Onyeabor,Anything You Sow,31 goodbye,Playlist track,
Necrolust,Mayhem,Deathcrush,31 goodbye,Playlist track,NOFVV5806050
Spiritual Eternal,Alice Coltrane,Eternity,31 goodbye,Playlist track,USWB10107367
Beverly Kills,Ariel Pink,Before Today,31 goodbye,Playlist track,GBAFL1000118
Fire And Brimstone,Link Wray,Link Wray,31 goodbye,Playlist track,USUR10400558
Paris,Moondog,Rare Material,31 goodbye,Playlist track,DEC160600101
Mature Themes,Ariel Pink,Mature Themes,31 goodbye,Playlist track,GBAFL1200194
Kinski Assassin,Ariel Pink,Mature Themes,31 goodbye,Playlist track,GBAFL1200192
Schnitzel Boogie,Ariel Pink,Mature Themes,31 goodbye,Playlist track,GBAFL1200198
Mediana (Cuntzertu: Mediana a pipìa in Si bemolle),Efisio Melis,A launeddas (I maestri delle launeddas 1),31 goodbye,Playlist track,ITI401155111
Slipping & Sliding,The Gaylads,Ska Days,31 goodbye,Playlist track,GBDOZ1200442
Reminiscences,Ariel Pink,Before Today,31 goodbye,Playlist track,GBAFL1000120
